address,rent,beds,baths,sqft,url,neighborhood,dishwasher,in_unit_laundry,amenities,open_house,open_house_start,open_house_end,status,first_seen_at,last_seen_at,notes,source
"12 Halsey Street #514, Brooklyn, NY",$3827,2,1,,https://streeteasy.com/building/12-halsey-street-brooklyn/514,,,,new development,,,,active,2026-07-28,2026-07-29,base $4175; using net effective rent,streeteasy_html
"12 Halsey Street #527, Brooklyn, NY",$3208,1,1,,https://streeteasy.com/building/12-halsey-street-brooklyn/527,,,,new development,,,,active,2026-07-28,2026-07-29,base $3500; using net effective rent,streeteasy_html
"12 Halsey Street #728, Brooklyn, NY",$3225,0,1,,https://streeteasy.com/building/12-halsey-street-brooklyn/728,,,,new development,Thu Jul 30 · 11:00 AM–7:00 PM,2026-07-30T11:00,2026-07-30T19:00,active,2026-07-28,2026-07-29,,streeteasy_html
"12 Halsey Street #731, Brooklyn, NY",$3225,0,1,,https://streeteasy.com/building/12-halsey-street-brooklyn/731,,,,new development,Thu Jul 30 · 11:00 AM–7:00 PM,2026-07-30T11:00,2026-07-30T19:00,active,2026-07-27,2026-07-29,,streeteasy_html
"12 Halsey Street #816, Brooklyn, NY",$3225,0,1,,https://streeteasy.com/building/12-halsey-street-brooklyn/816,,,,new development,Thu Jul 30 · 11:00 AM–5:00 PM,2026-07-30T11:00,2026-07-30T17:00,active,2026-07-28,2026-07-29,,streeteasy_html
"12 Halsey Street #831, Brooklyn, NY",$3258,0,1,,https://streeteasy.com/building/12-halsey-street-brooklyn/831,,,,new development,Thu Jul 30 · 11:00 AM–7:00 PM,2026-07-30T11:00,2026-07-30T19:00,active,2026-07-29,2026-07-29,base $3530; using net effective rent,streeteasy_html
"12 Halsey Street #PH127, Brooklyn, NY",$3793,1,1,,https://streeteasy.com/building/12-halsey-street-brooklyn/ph127,,,,new development,Thu Jul 30 · 11:00 AM–7:00 PM,2026-07-30T11:00,2026-07-30T19:00,active,2026-07-27,2026-07-29,base $4425; using net effective rent,streeteasy_html
"12 Halsey Street #PH129, Brooklyn, NY",$3879,1,1,,https://streeteasy.com/building/12-halsey-street-brooklyn/ph129,,,,new development,Thu Jul 30 · 11:00 AM–7:00 PM,2026-07-30T11:00,2026-07-30T19:00,active,2026-07-28,2026-07-29,base $4525; using net effective rent,streeteasy_html
"12 Halsey Street #PH225, Brooklyn, NY",$3750,1,1,,https://streeteasy.com/building/12-halsey-street-brooklyn/ph225,,,,new development,Thu Jul 30 · 11:00 AM–7:00 PM,2026-07-30T11:00,2026-07-30T19:00,active,2026-07-27,2026-07-29,base $4375; using net effective rent,streeteasy_html
"1211 Fulton Street #8A, Brooklyn, NY",$3600,1,1,,https://streeteasy.com/building/1211-fulton-street-brooklyn/8a,,,,new development,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"1211 Fulton Street #PH, Brooklyn, NY",$3993,1,1,,https://streeteasy.com/building/1211-fulton-street-brooklyn/ph,,,,new development,,,,active,2026-07-27,2026-07-29,base $4300; using net effective rent,streeteasy_html
"126 Sandford Street #408, New York, NY",$3254,1,1,,https://streeteasy.com/building/prisma-house/408,,,,new development,,,,active,2026-07-28,2026-07-29,base $3525; using net effective rent,streeteasy_html
"126 Sandford Street #414, New York, NY",$3514,1,1,,https://streeteasy.com/building/prisma-house/414,,,,new development,,,,active,2026-07-28,2026-07-29,base $4100; using net effective rent,streeteasy_html
"126 Sandford Street #502, New York, NY",$3298,1,1,,https://streeteasy.com/building/prisma-house/502,,,,new development,,,,active,2026-07-27,2026-07-29,base $3573; using net effective rent,streeteasy_html
"126 Sandford Street #504, New York, NY",$3250,1,1,,https://streeteasy.com/building/prisma-house/504,,,,new development,,,,active,2026-07-28,2026-07-29,base $3521; using net effective rent,streeteasy_html
"126 Sandford Street #511, New York, NY",$3234,1,1,,https://streeteasy.com/building/prisma-house/511,,,,new development,,,,active,2026-07-28,2026-07-29,base $3503; using net effective rent,streeteasy_html
"129 Mcdonald Avenue #3E, New York, NY",$3650,1,1,,https://streeteasy.com/building/the-vander/3e,Windsor Terrace,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"130 2nd Street #12H, New York, NY",$3496,1,1,,https://streeteasy.com/building/130-2nd-street/12h,Gowanus,,,,Mon Jul 26 · 2:30 PM–3:00 PM,2027-07-26T14:30,2027-07-26T15:00,active,2026-07-27,2026-07-29,base $4195; using net effective rent,streeteasy_html
"1469 Dean Street #4F, Brooklyn, NY",$4000,2,2,800,https://streeteasy.com/building/1469-dean-street-brooklyn/4f,,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"147 East 30th Street #1A, New York, NY",$3399,1,1,,https://streeteasy.com/building/147-east-30-street-new_york/1a,Kips Bay,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"147 Sullivan Street #4A, New York, NY",$4000,1,1,,https://streeteasy.com/building/147-sullivan-street-new_york/4a,Soho,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"1499 Bedford Avenue #10T, Brooklyn, NY",$2750,0,1,,https://streeteasy.com/building/1499-bedford-avenue-brooklyn/10t,Crown Heights,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"150 Fourth Avenue #3J, New York, NY",$3318,0,1,489,https://streeteasy.com/building/instrata-park-slope/3j,Gowanus,,,,,,,active,2026-07-28,2026-07-29,base $3595; using net effective rent,streeteasy_html
"150 Lawrence Street #2121, New York, NY",$3930,1,1,,https://streeteasy.com/building/lawrence-tower/2121,,,,new development,Mon Jul 26 · 10:00 AM–7:00 PM,2027-07-26T10:00,2027-07-26T19:00,active,2026-07-27,2026-07-29,,streeteasy_html
"150 Lawrence Street #2131, New York, NY",$3930,1,1,,https://streeteasy.com/building/lawrence-tower/2131,,,,new development,Wed Jul 29 · 10:00 AM–7:00 PM,2026-07-29T10:00,2026-07-29T19:00,active,2026-07-28,2026-07-29,,streeteasy_html
"150 Lawrence Street #2411, New York, NY",$3960,1,1,,https://streeteasy.com/building/lawrence-tower/2411,,,,new development,Wed Jul 29 · 10:00 AM–7:00 PM,2026-07-29T10:00,2026-07-29T19:00,active,2026-07-28,2026-07-29,,streeteasy_html
"153 Avenue A #5A, New York, NY",$3695,0,1,,https://streeteasy.com/building/153-avenue-a-new_york/5a,East Village,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"1570 Eastern Parkway #1, Brooklyn, NY",$3700,3,1,1100,https://streeteasy.com/building/1570-eastern-parkway-brooklyn/1,,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"163 Hancock Street #1, Brooklyn, NY",$3950,1,1,750,https://streeteasy.com/building/163-hancock-street-brooklyn/1,Bedford-Stuyvesant,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"177 Buffalo Avenue #2, Brooklyn, NY",$3438,3,1,,https://streeteasy.com/building/177-buffalo-avenue-brooklyn/2,Weeksville,,,,,,,active,2026-07-28,2026-07-29,base $3750; using net effective rent,streeteasy_html
"180 Bainbridge Street #209, Brooklyn, NY",$3254,1,1,,https://streeteasy.com/building/180-bainbridge-street-brooklyn/209,Stuyvesant Heights,,,,Wed Jul 29 · 4:00 PM–4:30 PM,2026-07-29T16:00,2026-07-29T16:30,active,2026-07-28,2026-07-29,base $3550; using net effective rent,streeteasy_html
"180 Bainbridge Street #307, Brooklyn, NY",$3112,1,1,,https://streeteasy.com/building/180-bainbridge-street-brooklyn/307,Stuyvesant Heights,,,,,,,active,2026-07-28,2026-07-29,base $3395; using net effective rent,streeteasy_html
"180 Franklin Avenue #303, Brooklyn, NY",$3779,1,1,653,https://streeteasy.com/building/180-franklin-avenue-brooklyn/303,Bedford-Stuyvesant,,,,Wed Jul 29 · 5:00 PM–6:00 PM,2026-07-29T17:00,2026-07-29T18:00,active,2026-07-28,2026-07-29,base $4122; using net effective rent,streeteasy_html
"185 Avenue B #3E, New York, NY",$3700,0,1,,https://streeteasy.com/building/185-avenue-b-new_york/3e,,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"185 Avenue B #6D, New York, NY",$4000,0,1,,https://streeteasy.com/building/185-avenue-b-new_york/6d,,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"196 Willoughby Street #30B, Brooklyn, NY",$3929,0,1,404,https://streeteasy.com/building/willoughby-196-willoughby-street-brooklyn___/30b,Downtown Brooklyn,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"196 Willoughby Street #32B, Brooklyn, NY",$3956,0,1,404,https://streeteasy.com/building/willoughby-196-willoughby-street-brooklyn___/32b,Downtown Brooklyn,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"196 Willoughby Street #5U, Brooklyn, NY",$3381,0,1,472,https://streeteasy.com/building/willoughby-196-willoughby-street-brooklyn___/5u,Downtown Brooklyn,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"199 Buffalo Avenue #3, Brooklyn, NY",$3800,4,1,1400,https://streeteasy.com/building/199-buffalo-avenue-brooklyn/3,Weeksville,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"199 Prospect Avenue #3, Brooklyn, NY",$3350,1,1,750,https://streeteasy.com/building/199-prospect-avenue-brooklyn/3,Park Slope,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"20 Exchange Place #1506, New York, NY",$3449,0,1,496,https://streeteasy.com/building/twenty-exchange/1506,Financial District,,,,Thu Jul 30 · 11:00 AM–4:00 PM,2026-07-30T11:00,2026-07-30T16:00,active,2026-07-28,2026-07-29,base $3850; using net effective rent,streeteasy_html
"20 Exchange Place 20X---427, New York, NY",$3725,0,1,457,https://streeteasy.com/building/twenty-exchange/20x-427,Financial District,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"20 Exchange Place 20X--726, New York, NY",$3488,0,1,444,https://streeteasy.com/building/twenty-exchange/20x-726,Financial District,,,,,,,active,2026-07-27,2026-07-29,base $3805; using net effective rent,streeteasy_html
"20 Exchange Place #4-20, New York, NY",$3422,0,1,400,https://streeteasy.com/building/twenty-exchange/420,Financial District,,,,Thu Jul 30 · 11:00 AM–4:00 PM,2026-07-30T11:00,2026-07-30T16:00,active,2026-07-28,2026-07-29,base $3650; using net effective rent,streeteasy_html
"20 Exchange Place #7-26, New York, NY",$3460,0,1,444,https://streeteasy.com/building/twenty-exchange/726,Financial District,,,,Thu Jul 30 · 11:00 AM–4:00 PM,2026-07-30T11:00,2026-07-30T16:00,active,2026-07-28,2026-07-29,base $3775; using net effective rent,streeteasy_html
"20 Exchange Place #731, New York, NY",$3541,0,1,467,https://streeteasy.com/building/twenty-exchange/731,Financial District,,,,,,,active,2026-07-29,2026-07-29,base $3695; using net effective rent,streeteasy_html
"20 Exchange Place 810---20X, New York, NY",$3790,0,1,655,https://streeteasy.com/building/twenty-exchange/810-20x,Financial District,,,,,,,active,2026-07-29,2026-07-29,base $3955; using net effective rent,streeteasy_html
"20 Rockwell Place #1709S, New York, NY",$3999,1,1,,https://streeteasy.com/building/the-rocklyn/1709s,,,,new development,Wed Jul 29 · 12:00 PM–6:00 PM,2026-07-29T12:00,2026-07-29T18:00,active,2026-07-28,2026-07-29,,streeteasy_html
